post_id,text,images
195b65ad-074b-485b-93ae-43f066e73777,C’est avec émotion que nous apprenons le décès du Président Jacques Chirac.,
c1363dd4-db87-4a6f-9e70-c6d0f3f2090f,"Ce soir, en ouverture de séance, il sera proposé aux élus du Conseil Municipal de lui rendre hommage en respectant une minute de silence.",
a7d783fa-7f7d-4b02-b751-368f5dcf9b05,"Death of Jacques Chirac: ""He was an extraordinary statesman, one of those who mark the world history of their imprint,"" reacted the Mayor of Paris, Anne Hidalgo",
8d986680-a0ed-4845-8c10-ec676212851b,Décès de Mr le Président Jacques Chirac....Condoléances à toute sa famille.....r.i.p.,images/post_30_0.jpg
2c7723b0-bb37-4fc5-ac09-3e026d2281d2,"Suite au décès de Jacques Chirac, ancien président de la République, survenu le 26 septembre dernier, la ville de Livry-Gargan participera à la journée de deuil national qui se déroulera le lundi 30 septembre.
Les drapeaux des bâtiments municipaux seront mis en berne. Un registre de condoléances est à votre disposition à l’Hôtel de ville pour rendre un dernier hommage à Jacques Chirac. Par ailleurs, une minute de silence sera observée par les agents communaux sur le parvis de… See more",images/post_31_0.jpg
593cabbf-6cde-4029-8a29-deea22812e13,"Suite au décès de Jacques Chirac, ancien président de la République, survenu le 26 septembre dernier, la ville de Livry-Gargan participera à la journée de deuil national qui se déroulera le lundi 30 septembre.",
13bf6ec5-6a17-41b5-be24-325c6718eb82,"Les drapeaux des bâtiments municipaux seront mis en berne. Un registre de condoléances est à votre disposition à l’Hôtel de ville pour rendre un dernier hommage à Jacques Chirac. Par ailleurs, une minute de silence sera observée par les agents communaux sur le parvis de… See more",
3faeac71-1b26-485b-9156-436660ef9b46,"Décès de l’ancien Président Jacques Chirac
Comme le Président de la République l’a annoncé, un jour de deuil national a été décrété le lundi 30 septembre, en hommage au Président Chirac, décédé le 26 septembre.
Un moment de recueillement a été observé dans l’ensemble de nos emprises en Turquie, à 15h heure locale.… See more",images/post_34_0.jpg;images/post_34_1.jpg;images/post_34_2.jpg
3f4d9afb-05da-48ff-a822-3be209bdc685,Décès de l’ancien Président Jacques Chirac,
420a5fea-0957-4853-a23b-102563f3812b,"Comme le Président de la République l’a annoncé, un jour de deuil national a été décrété le lundi 30 septembre, en hommage au Président Chirac, décédé le 26 septembre.",
9699f369-9e3e-4ca2-9323-de9c8ec482ab,"Un moment de recueillement a été observé dans l’ensemble de nos emprises en Turquie, à 15h heure locale.… See more",
