post_id,text,images
fa25f44c-a071-43c3-8fdf-63c20d87cceb,"C’est dans l’avion de retour de Rodez que j’ai appris le décès du président Jacques Chirac.
Il aimait ce département de l’Aveyron, comme il aimait tous les départements ruraux, dont il avait la force et la simplicité.
J’avais 29 ans quand j’ai commencé à travailler à ses côtés et, au moment si triste de sa mort, les souvenirs se bousculent.… See more",images/post_29_0.jpg
ccd9b6e2-a8a3-4054-aa0d-71957a023292,C’est dans l’avion de retour de Rodez que j’ai appris le décès du président Jacques Chirac.,
690ee209-c542-4c29-b33d-047d4fa8a90b,"Il aimait ce département de l’Aveyron, comme il aimait tous les départements ruraux, dont il avait la force et la simplicité.",
daa3b678-13a3-4ce8-b905-400734b99868,"J’avais 29 ans quand j’ai commencé à travailler à ses côtés et, au moment si triste de sa mort, les souvenirs se bousculent.… See more",
b4128481-b3da-4d1e-9ce2-a6ffc9b077b1,Décès de Mr le Président Jacques Chirac....Condoléances à toute sa famille.....r.i.p.,images/post_33_0.jpg
41359a1b-6b28-4fb6-8fb2-4a903ce9fd3e,"Immense tristesse d’apprendre le décès de Jacques Chirac. 
Mon premier engagement politique : la campagne présidentielle de 1995.. les années RPR... 
Un décideur ... le non à la guerre d’Irak.. son discours sur le réchauffement climatique a l’ONU ...
Un homme chaleureux que j’ai eu la chance de rencontrer au PDB et  lors de sa garden party à l’Elysée, un 14 juillet 1998... 
Mes sincères condoléances à sa famille...",images/post_34_0.jpg
fbc0d700-a83d-4a0d-bd7f-40d85baaff40,Immense tristesse d’apprendre le décès de Jacques Chirac.,
15f0ec69-f9c0-47f0-a388-b508b094c191,Mon premier engagement politique : la campagne présidentielle de 1995.. les années RPR...,
0907912d-615e-4ce5-86b0-8058b86e8b56,Un décideur ... le non à la guerre d’Irak.. son discours sur le réchauffement climatique a l’ONU ...,
671c8828-8ffd-49cb-84b6-6ad8aebc7c9f,"Un homme chaleureux que j’ai eu la chance de rencontrer au PDB et  lors de sa garden party à l’Elysée, un 14 juillet 1998...",
